string,x,y
794,-480.0,103.9
795,-440.0,103.9
796,-400.0,103.9
797,-360.0,103.9
798,-320.0,103.9
799,-280.0,103.9
800,-240.0,103.9
801,-200.0,103.9
802,-160.0,103.9
803,-120.0,103.9
804,-80.0,103.9
805,-40.0,103.9
806,0.0,103.9
807,40.0,103.9
808,80.0,103.9
809,120.0,103.9
810,160.0,103.9
811,200.0,103.9
812,240.0,103.9
813,280.0,103.9
814,320.0,103.9
815,360.0,103.9
816,400.0,103.9
817,440.0,103.9
818,480.0,103.9
819,520.0,103.9
820,560.0,103.9
821,600.0,103.9
822,640.0,103.9
823,680.0,103.9
824,720.0,103.9
825,760.0,103.9
826,-740.0,138.6
827,-700.0,138.6
828,-660.0,138.6
829,-620.0,138.6
830,-580.0,138.6
831,-540.0,138.6
832,-500.0,138.6
833,-460.0,138.6
834,-420.0,138.6
835,-380.0,138.6
836,-340.0,138.6
837,-300.0,138.6
838,-260.0,138.6
839,-220.0,138.6
840,-180.0,138.6
841,-140.0,138.6
842,-100.0,138.6
843,-60.0,138.6
844,-20.0,138.6
845,20.0,138.6
846,60.0,138.6
847,100.0,138.6
848,140.0,138.6
849,180.0,138.6
850,220.0,138.6
851,260.0,138.6
852,300.0,138.6
853,340.0,138.6
854,380.0,138.6
855,420.0,138.6
856,460.0,138.6
857,500.0,138.6
858,540.0,138.6
859,580.0,138.6
860,620.0,138.6
861,660.0,138.6
862,700.0,138.6
863,740.0,138.6
864,-760.0,173.2
865,-720.0,173.2
866,-680.0,173.2
867,-640.0,173.2
868,-600.0,173.2
869,-560.0,173.2
870,-520.0,173.2
871,-480.0,173.2
872,-440.0,173.2
873,-400.0,173.2
874,-360.0,173.2
875,-320.0,173.2
876,-280.0,173.2
877,-240.0,173.2
878,-200.0,173.2
879,-160.0,173.2
880,-120.0,173.2
881,-80.0,173.2
882,-40.0,173.2
883,0.0,173.2
884,40.0,173.2
885,80.0,173.2
886,120.0,173.2
887,160.0,173.2
888,200.0,173.2
889,240.0,173.2
890,280.0,173.2
891,320.0,173.2
892,360.0,173.2
893,400.0,173.2
894,440.0,173.2
895,480.0,173.2
896,520.0,173.2
897,560.0,173.2
898,600.0,173.2
899,640.0,173.2
900,680.0,173.2
901,720.0,173.2
902,760.0,173.2
903,-740.0,207.8
904,-700.0,207.8
905,-660.0,207.8
906,-620.0,207.8
907,-580.0,207.8
908,-540.0,207.8
909,-500.0,207.8
910,-460.0,207.8
